fecha,departamento,enCurso,cantCasosNuevos,cantFallecidos,acumFallecidos,cantRecuperados,acumRecuperados,acumCasos
03/05/2020,Tacuarembó (UY-TA ),0,0,0,0,0,0,0
03/05/2020,Treinta y Tres (UY-TT ),5,1,0,0,0,0,5
04/05/2020,Artigas (UY-AR ),0,0,0,0,0,0,0
04/05/2020,Canelones (UY-CA ),17,2,0,2,0,72,91
04/05/2020,Cerro Largo (UY-CL ),0,0,0,0,0,0,0
04/05/2020,Colonia (UY-CO ),2,0,0,0,0,6,8
04/05/2020,Durazno (UY-DU ),0,0,0,0,0,1,1
04/05/2020,Flores (UY-FS ),0,0,0,0,0,1,1
04/05/2020,Florida (UY-FD ),0,0,0,0,0,0,0
04/05/2020,Lavalleja (UY-LA ),0,0,0,0,0,4,4
04/05/2020,Maldonado (UY-MA ),7,0,0,4,0,14,25
04/05/2020,Montevideo (UY-MO ),160,-1,0,11,4,323,494
04/05/2020,Paysandú (UY-PA ),0,0,0,0,0,1,1
04/05/2020,Río Negro (UY-RN ),1,0,0,0,0,8,9
04/05/2020,Rivera (UY-RV ),0,0,0,0,0,1,1
04/05/2020,Rocha (UY-RO ),0,0,0,0,0,1,1
04/05/2020,Salto (UY-SA ),0,0,0,0,0,12,12
04/05/2020,San José (UY-SJ ),1,0,0,0,0,2,3
04/05/2020,Soriano (UY-SO ),0,0,0,0,0,1,1
04/05/2020,Tacuarembó (UY-TA ),0,0,0,0,0,0,0
04/05/2020,Treinta y Tres (UY-TT ),5,0,0,0,0,0,5
05/05/2020,Artigas (UY-AR ),0,0,0,0,0,0,0
05/05/2020,Canelones (UY-CA ),18,3,0,2,2,74,94
05/05/2020,Cerro Largo (UY-CL ),0,0,0,0,0,0,0
05/05/2020,Colonia (UY-CO ),3,1,0,0,0,6,9
05/05/2020,Durazno (UY-DU ),0,0,0,0,0,1,1
05/05/2020,Flores (UY-FS ),0,0,0,0,0,1,1
05/05/2020,Florida (UY-FD ),0,0,0,0,0,0,0
05/05/2020,Lavalleja (UY-LA ),0,0,0,0,0,4,4
05/05/2020,Maldonado (UY-MA ),8,1,0,4,0,14,26
05/05/2020,Montevideo (UY-MO ),143,2,0,11,19,342,496
05/05/2020,Paysandú (UY-PA ),0,0,0,0,0,1,1
05/05/2020,Río Negro (UY-RN ),1,0,0,0,0,8,9
05/05/2020,Rivera (UY-RV ),0,0,0,0,0,1,1
05/05/2020,Rocha (UY-RO ),0,0,0,0,0,1,1
05/05/2020,Salto (UY-SA ),0,0,0,0,0,12,12
05/05/2020,San José (UY-SJ ),0,0,0,0,1,3,3
05/05/2020,Soriano (UY-SO ),0,0,0,0,0,1,1
05/05/2020,Tacuarembó (UY-TA ),0,0,0,0,0,0,0
05/05/2020,Treinta y Tres (UY-TT ),12,7,0,0,0,0,12
06/05/2020,Artigas (UY-AR ),0,0,0,0,0,0,0
06/05/2020,Canelones (UY-CA ),18,1,0,2,1,75,95
06/05/2020,Cerro Largo (UY-CL ),0,0,0,0,0,0,0
06/05/2020,Colonia (UY-CO ),3,0,0,0,0,6,9
06/05/2020,Durazno (UY-DU ),0,0,0,0,0,1,1
06/05/2020,Flores (UY-FS ),0,0,0,0,0,1,1
06/05/2020,Florida (UY-FD ),0,0,0,0,0,0,0
06/05/2020,Lavalleja (UY-LA ),0,0,0,0,0,4,4
06/05/2020,Maldonado (UY-MA ),6,0,0,4,2,16,26
06/05/2020,Montevideo (UY-MO ),130,2,0,11,15,357,498
06/05/2020,Paysandú (UY-PA ),0,0,0,0,0,1,1
06/05/2020,Río Negro (UY-RN ),1,0,0,0,0,8,9
06/05/2020,Rivera (UY-RV ),0,0,0,0,0,1,1
06/05/2020,Rocha (UY-RO ),0,0,0,0,0,1,1
06/05/2020,Salto (UY-SA ),0,0,0,0,0,12,12
06/05/2020,San José (UY-SJ ),0,0,0,0,0,3,3
06/05/2020,Soriano (UY-SO ),0,0,0,0,0,1,1
06/05/2020,Tacuarembó (UY-TA ),0,0,0,0,0,0,0
06/05/2020,Treinta y Tres (UY-TT ),12,0,0,0,0,0,12
07/05/2020,Artigas (UY-AR ),0,0,0,0,0,0,0
07/05/2020,Canelones (UY-CA ),18,2,0,2,2,77,97
07/05/2020,Cerro Largo (UY-CL ),0,0,0,0,0,0,0
07/05/2020,Colonia (UY-CO ),2,0,0,0,1,7,9
07/05/2020,Durazno (UY-DU ),0,0,0,0,0,1,1
