fecha;municipio;microzona;poblacion;enCurso;enCurso (porcentaje depto);crecimiento;crecimiento (porcentaje casos anteriores);Prevalencia (casos activos por 100.000 hab)
19/02/21;SAN JACINTO;3;7575;3;0.34;-4;-57.14;39.6
19/02/21;TALA;3;10539;4;0.45;-4;-50;37.95
19/02/21;ATLÁNTIDA;4;11547;9;1.02;-10;-52.63;77.94
19/02/21;FLORESTA;4;9458;19;2.16;-9;-32.14;200.89
19/02/21;PARQUE DEL PLATA;4;12516;26;2.95;5;23.81;207.73
19/02/21;SALINAS;4;26548;50;5.68;0;0;188.34
19/02/21;SOCA;4;4483;8;0.91;5;166.67;178.45
19/02/21;CIUDAD DE LA COSTA;5;103355;116;13.17;-7;-5.69;112.23
19/02/21;COLONIA NICOLICH;5;16744;14;1.59;-5;-26.32;83.61
19/02/21;PASO CARRASCO;5;23598;22;2.5;-17;-43.59;93.23
19/02/21;BARROS BLANCOS;6;33814;58;6.58;17;41.46;171.53
19/02/21;EMPALME OLMOS;6;7507;5;0.57;4;400;66.6
19/02/21;PANDO;6;37281;52;5.9;-24;-31.58;139.48
19/02/21;SUÁREZ;6;20553;5;0.57;-20;-80;24.33
19/02/21;TOLEDO;6;21218;32;3.63;-18;-36;150.82
19/02/21;LA PAZ;7;22864;45;5.11;0;0;196.82
19/02/21;LAS PIEDRAS Y 18 DE MAYO;7;94665;179;20.32;63;54.31;189.09
19/02/21;PROGRESO;7;16182;18;2.04;-5;-21.74;111.23
03/03/21;AGUAS CORRIENTES;1;1956;4;0.32;2;100;204.5
03/03/21;CANELONES;1;31030;113;9.01;63;126;364.16
03/03/21;LOS CERRILLOS;1;8733;10;0.8;-23;-69.7;114.51
03/03/21;SANTA LUCÍA;1;20974;28;2.23;15;115.38;133.5
03/03/21;SAN ANTONIO;2;3716;2;0.16;0;0;53.82
03/03/21;SAN BAUTISTA;2;4171;1;0.08;-2;-66.67;23.98
03/03/21;SAN RAMÓN;2;9156;27;2.15;18;200;294.89
03/03/21;SANTA ROSA;2;7644;5;0.4;-6;-54.55;65.41
03/03/21;SAUCE;2;14741;9;0.72;-5;-35.71;61.05
03/03/21;MIGUES;3;4305;7;0.56;3;75;162.6
03/03/21;MONTES;3;2086;1;0.08;1;NA;47.94
03/03/21;SAN JACINTO;3;7575;6;0.48;3;100;79.21
03/03/21;TALA;3;10539;17;1.36;13;325;161.31
03/03/21;ATLÁNTIDA;4;11547;12;0.96;3;33.33;103.92
03/03/21;FLORESTA;4;9458;15;1.2;-4;-21.05;158.6
03/03/21;PARQUE DEL PLATA;4;12516;20;1.59;-6;-23.08;159.8
03/03/21;SALINAS;4;26548;31;2.47;-19;-38;116.77
03/03/21;SOCA;4;4483;NA;NA;NA;NA;NA
03/03/21;CIUDAD DE LA COSTA;5;103355;142;11.32;26;22.41;137.39
03/03/21;COLONIA NICOLICH;5;16744;20;1.59;6;42.86;119.45
03/03/21;PASO CARRASCO;5;23598;12;0.96;-10;-45.45;50.85
03/03/21;BARROS BLANCOS;6;33814;53;4.23;-5;-8.62;156.74
03/03/21;EMPALME OLMOS;6;7507;7;0.56;2;40;93.25
03/03/21;PANDO;6;37281;29;2.31;-23;-44.23;77.79
03/03/21;SUÁREZ;6;20553;8;0.64;3;60;38.92
03/03/21;TOLEDO;6;21218;43;3.43;11;34.38;202.66
03/03/21;LA PAZ;7;22864;42;3.35;-3;-6.67;183.69
03/03/21;LAS PIEDRAS Y 18 DE MAYO;7;94665;169;13.48;-10;-5.59;178.52
03/03/21;PROGRESO;7;16182;33;2.63;15;83.33;203.93
12/03/21;AGUAS CORRIENTES;1;1956;8;0.63;4;100;409
12/03/21;CANELONES;1;31030;116;9.19;3;2.65;373.83
12/03/21;LOS CERRILLOS;1;8733;11;0.87;1;10;125.96
12/03/21;SANTA LUCÍA;1;20974;22;1.74;-6;-21.43;104.89
12/03/21;SAN ANTONIO;2;3716;9;0.71;7;350;242.2
12/03/21;SAN BAUTISTA;2;4171;9;0.71;8;800;215.78
12/03/21;SAN RAMÓN;2;9156;33;2.61;6;22.22;360.42
12/03/21;SANTA ROSA;2;7644;9;0.71;4;80;117.74
12/03/21;SAUCE;2;14741;45;3.57;36;400;305.27
12/03/21;MIGUES;3;4305;17;1.35;10;142.86;394.89
12/03/21;MONTES;3;2086;2;0.16;1;100;95.88
12/03/21;SAN JACINTO;3;7575;14;1.11;8;133.33;184.82
12/03/21;TALA;3;10539;15;1.19;-2;-11.76;142.33
12/03/21;ATLÁNTIDA;4;11547;14;1.11;2;16.67;121.24
12/03/21;FLORESTA;4;9458;41;3.25;26;173.33;433.5
12/03/21;PARQUE DEL PLATA;4;12516;28;2.22;8;40;223.71
12/03/21;SALINAS;4;26548;31;2.46;0;0;116.77
12/03/21;SOCA;4;4483;4;0.32;4;NA;89.23
12/03/21;CIUDAD DE LA COSTA;5;103355;185;14.66;43;30.28;178.99
12/03/21;COLONIA NICOLICH;5;16744;28;2.22;8;40;167.22
12/03/21;PASO CARRASCO;5;23598;18;1.43;6;50;76.28
12/03/21;BARROS BLANCOS;6;33814;69;5.47;16;30.19;204.06
12/03/21;EMPALME OLMOS;6;7507;11;0.87;4;57.14;146.53
12/03/21;PANDO;6;37281;28;2.22;-1;-3.45;75.11
12/03/21;SUÁREZ;6;20553;15;1.19;7;87.5;72.98
12/03/21;TOLEDO;6;21218;113;8.95;70;162.79;532.57
12/03/21;LA PAZ;7;22864;47;3.72;5;11.9;205.56
12/03/21;LAS PIEDRAS Y 18 DE MAYO;7;94665;174;13.79;5;2.96;183.81
12/03/21;PROGRESO;7;16182;36;2.85;3;9.09;222.47
25/03/21;AGUAS CORRIENTES;1;1956;1;0.06;-7;-87.5;51.12
25/03/21;CANELONES;1;31030;111;6.15;-5;-4.31;357.72
25/03/21;LOS CERRILLOS;1;8733;15;0.83;4;36.36;171.76
25/03/21;SANTA LUCÍA;1;20974;46;2.55;24;109.09;219.32
25/03/21;SAN ANTONIO;2;3716;11;0.61;2;22.22;296.02
25/03/21;SAN BAUTISTA;2;4171;10;0.55;1;11.11;239.75
25/03/21;SAN RAMÓN;2;9156;10;0.55;-23;-69.7;109.22
25/03/21;SANTA ROSA;2;7644;54;2.99;45;500;706.44
25/03/21;SAUCE;2;14741;48;2.66;3;6.67;325.62
25/03/21;MIGUES;3;4305;7;0.39;-10;-58.82;162.6
25/03/21;MONTES;3;2086;2;0.11;0;0;95.88
25/03/21;SAN JACINTO;3;7575;12;0.66;-2;-14.29;158.42
25/03/21;TALA;3;10539;35;1.94;20;133.33;332.1
25/03/21;ATLÁNTIDA;4;11547;35;1.94;21;150;303.11
25/03/21;FLORESTA;4;9458;39;2.16;-2;-4.88;412.35
25/03/21;PARQUE DEL PLATA;4;12516;57;3.16;29;103.57;455.42
25/03/21;SALINAS;4;26548;83;4.6;52;167.74;312.64
25/03/21;SOCA;4;4483;1;0.06;-3;-75;22.31
25/03/21;CIUDAD DE LA COSTA;5;103355;222;12.3;37;20;214.79
25/03/21;COLONIA NICOLICH;5;16744;25;1.39;-3;-10.71;149.31
25/03/21;PASO CARRASCO;5;23598;51;2.83;33;183.33;216.12
25/03/21;BARROS BLANCOS;6;33814;88;4.88;19;27.54;260.25
25/03/21;EMPALME OLMOS;6;7507;18;1;7;63.64;239.78
25/03/21;PANDO;6;37281;74;4.1;46;164.29;198.49
25/03/21;SUÁREZ;6;20553;46;2.55;31;206.67;223.81
25/03/21;TOLEDO;6;21218;127;7.04;14;12.39;598.55
25/03/21;LA PAZ;7;22864;39;2.16;-8;-17.02;170.57
25/03/21;LAS PIEDRAS Y 18 DE MAYO;7;94665;263;14.57;89;51.15;277.82
25/03/21;PROGRESO;7;16182;48;2.66;12;33.33;296.63
