country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-09-21,-18,-10,-30,-24,-14,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-09-22,-21,-12,-25,-22,-13,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-09-23,-22,-6,-29,-18,1,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-09-24,-22,-12,-23,-18,1,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-09-25,-21,-4,-20,-15,2,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-09-26,-35,-16,-58,-37,-15,12
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-09-27,-9,14,-32,-5,-13,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-09-28,-27,-13,-33,-26,-8,10
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-09-29,-24,-10,-21,-18,4,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-09-30,-20,-5,-18,-19,3,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-01,-20,-5,-25,-20,4,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-02,-16,6,-31,-9,5,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-03,-12,7,-36,-14,-8,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-04,-16,1,-39,-22,-17,10
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-05,-21,-5,-37,-14,4,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-06,-19,-3,-23,-7,4,4
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-07,-14,4,-18,-6,6,4
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-08,-15,-1,-21,-6,4,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-09,-13,3,-21,-7,5,4
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-10,-7,5,-17,-9,-7,4
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-11,-16,-6,-33,-26,-16,9
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-12,-28,-11,-44,-25,-35,11
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-13,-22,-8,-29,-8,5,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-14,-18,-2,-18,-8,6,4
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-15,-19,-7,-24,-10,4,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-16,-15,-1,-13,-9,6,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-17,-17,-4,-28,-16,-8,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-18,-13,-6,-2,-20,-16,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-19,-24,-11,-32,-16,2,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-20,-35,-18,-51,-27,-3,9
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-21,-24,-6,-37,-12,6,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-22,-34,-19,-51,-25,-1,10
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-23,-16,0,-19,-7,6,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-24,-14,0,-20,-13,-6,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-25,-25,-8,-35,-30,-16,11
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-26,-23,-9,-31,-13,6,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-27,-21,-10,-20,-8,5,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-28,-26,-12,-43,-19,-1,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-29,-22,-11,-31,-11,6,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-30,-17,-3,-23,-10,7,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-10-31,-14,1,-21,-13,-7,4
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-01,-17,-9,-15,-24,-15,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-02,-36,-20,-20,-34,-49,12
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-03,-21,-7,-25,-8,5,4
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-04,-15,5,-24,-8,7,4
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-05,-13,0,-19,-8,6,4
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-06,-10,5,-16,-7,8,4
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-07,-4,7,-17,-10,-5,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-08,-6,2,-14,-20,-13,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-09,-15,-2,-30,-12,7,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-10,-15,-1,-22,-10,4,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-11,-15,-1,-26,-11,4,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-12,-16,-6,-22,-10,5,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-13,-15,-2,-24,-10,6,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-14,-12,0,-28,-15,-5,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-15,-17,-5,-31,-27,-16,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-16,-17,-7,-24,-12,7,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-17,-23,-9,-31,-13,5,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-18,-19,-6,-29,-14,5,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-19,-18,-9,-25,-13,4,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-20,-15,-1,-21,-11,5,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-21,-12,-2,-20,-14,-6,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-22,-15,-7,-18,-24,-15,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-23,-19,-9,-22,-15,4,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-24,-25,-13,-32,-16,3,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-25,-26,-12,-39,-24,-1,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-26,-19,-11,-25,-16,-1,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-27,-15,-4,-19,-13,4,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-28,-19,-6,-34,-22,-8,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-29,-19,-10,-24,-29,-16,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-11-30,-20,-9,-32,-18,4,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-01,-18,-5,-23,-13,4,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-02,-16,3,-28,-14,2,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-03,-13,0,-19,-13,-1,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-04,-14,5,-28,-14,0,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-05,-5,8,-27,-13,-6,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-06,-12,1,-24,-25,-15,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-07,-11,0,-22,-16,-5,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-08,-14,-1,-21,-14,-3,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-09,-13,-1,-19,-15,-4,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-10,-13,-3,-14,-13,-6,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-11,-13,1,-21,-16,-7,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-12,-10,2,-15,-13,-7,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-13,-28,-12,-52,-40,-19,12
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-14,-11,-2,-17,-15,-7,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-15,-20,-6,-37,-20,-9,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-16,-13,-1,-22,-16,-8,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-17,-12,-4,-15,-15,-9,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-18,-10,4,-14,-15,-8,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-19,-9,4,-37,-21,-9,9
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-20,-8,4,-40,-29,-12,11
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-21,3,9,-16,-12,-10,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-22,2,11,-12,-11,-12,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-23,7,30,-15,-8,-13,4
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-24,-28,10,-42,-33,-43,10
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-25,-84,-81,-56,-71,-80,20
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-26,-35,-22,-34,-37,-24,10
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-27,-33,-23,-38,-41,-17,10
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-28,-20,-11,-29,-26,-22,10
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-29,-23,-8,-28,-30,-25,9
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-30,-16,14,-39,-24,-23,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2020-12-31,-41,3,-49,-38,-47,10
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-01,-86,-86,-55,-78,-81,21
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-02,-40,-24,-26,-37,-30,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-03,-34,-23,-26,-39,-18,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-04,-21,-9,-28,-29,-32,10
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-05,-18,-1,-34,-18,-33,9
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-06,-45,-16,-42,-38,-54,16
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-07,-29,-12,-26,-21,-33,10
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-08,-32,-9,-28,-23,-32,11
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-09,-34,-11,-46,-27,-18,9
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-10,-33,-15,-20,-29,-15,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-11,-36,-16,-50,-29,-31,12
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-12,-30,-12,-33,-20,-27,9
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-13,-33,-15,-37,-24,-28,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-14,-35,-21,-33,-26,-31,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-15,-39,-20,-42,-30,-31,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-16,-38,-19,-42,-32,-22,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-17,-41,-23,-54,-40,-22,10
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-18,-32,-17,-30,-24,-28,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-19,-35,-20,-25,-23,-28,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-20,-35,-17,-30,-24,-27,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-21,-35,-21,-25,-24,-27,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-22,-36,-18,-26,-23,-26,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-23,-38,-20,-22,-24,-18,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-24,-41,-24,-22,-33,-17,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-25,-36,-21,-27,-26,-25,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-26,-39,-23,-32,-25,-25,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-27,-35,-18,-36,-25,-24,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-28,-35,-22,-32,-24,-25,9
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-29,-34,-15,-31,-24,-23,9
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-30,-42,-20,-56,-37,-19,10
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-01-31,-40,-16,-59,-43,-21,11
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-01,-34,-17,-47,-28,-22,10
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-02,-27,-7,-35,-18,-20,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-03,-34,-13,-53,-25,-21,9
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-04,-26,-9,-33,-17,-20,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-05,-23,-2,-28,-11,-18,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-06,-23,-4,-25,-14,-13,4
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-07,-27,-12,-22,-24,-16,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-08,-31,-14,-49,-23,-22,9
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-09,-29,-12,-43,-16,-19,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-10,-24,-5,-35,-14,-18,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-11,-31,-16,-47,-20,-20,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-12,-24,-2,-38,-13,-18,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-13,-20,-2,-31,-16,-15,4
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-14,-25,-14,-37,-29,-14,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-15,-41,-20,-36,-33,-51,13
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-16,-50,-27,-63,-39,-53,13
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-17,-29,-8,-44,-16,-24,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-18,-25,-11,-24,-11,-23,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-19,-26,-6,-25,-12,-21,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-20,-22,-4,-24,-17,-13,4
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-21,-25,-9,-25,-23,-14,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-22,-29,-12,-42,-18,-16,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-23,-22,-7,-24,-10,-16,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-24,-21,-4,-26,-9,-14,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-25,-22,-9,-20,-9,-16,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-26,-21,-2,-20,-8,-13,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-27,-17,1,-20,-13,-10,4
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-02-28,-18,0,-20,-20,-12,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-01,-18,2,-26,-10,-12,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-02,-16,8,-22,-5,-11,3
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-03,-16,8,-27,-5,-10,4
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-04,-17,2,-24,-6,-12,4
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-05,-14,9,-27,-3,-9,4
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-06,-7,11,-24,-6,-8,4
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-07,-10,5,-17,-14,-12,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-08,-16,2,-20,-6,-13,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-09,-19,2,-26,-3,-10,3
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-10,-17,5,-28,-2,-9,4
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-11,-18,-1,-21,-4,-10,4
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-12,-18,4,-24,-3,-8,4
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-13,-13,5,-21,-9,-8,5
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-14,-18,0,-20,-19,-15,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-15,-23,-2,-29,-7,-9,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-16,-29,-7,-39,-10,-11,6
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-17,-34,-9,-54,-20,-12,9
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-18,-24,-5,-32,-11,-11,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-19,-23,1,-31,-9,-9,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-20,-28,-3,-53,-25,-13,11
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-21,-23,1,-37,-27,-18,12
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-22,-27,-6,-38,-13,-9,8
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-23,-30,-8,-33,-14,-12,7
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-24,-33,-9,-38,-23,-21,11
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-25,-49,-30,-67,-41,-29,17
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-26,-33,-2,-47,-25,-24,14
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-27,-29,3,-43,-24,-16,11
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-28,-34,-5,-35,-35,-20,14
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-29,-34,-8,-49,-28,-41,15
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-30,-34,-9,-39,-26,-41,13
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-03-31,-31,-2,-42,-25,-42,12
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-01,-41,-8,-38,-33,-55,16
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-02,-58,-24,-42,-51,-66,22
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-03,-43,-9,-36,-35,-33,11
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-04,-40,-7,-42,-35,-17,10
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-05,-30,-7,-35,-22,-25,13
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-06,-32,-7,-35,-21,-26,12
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-07,-30,-4,-36,-20,-26,12
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-08,-31,-7,-37,-22,-26,13
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-09,-35,-5,-49,-28,-26,16
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-10,-33,-2,-61,-34,-20,14
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-11,-47,-15,-67,-49,-27,18
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-12,-27,-4,-36,-20,-22,13
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-13,-31,-7,-38,-21,-24,12
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-14,-30,-5,-38,-19,-24,12
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-15,-31,-9,-38,-22,-24,13
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-16,-29,-2,-35,-19,-21,13
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-17,-24,2,-27,-21,-12,10
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-18,-29,-4,-29,-29,-16,12
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-19,-32,-11,-31,-26,-37,15
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-20,-34,-9,-39,-19,-21,12
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-21,-33,-7,-41,-21,-22,12
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-22,-32,-10,-34,-21,-22,13
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-23,-29,-4,-29,-18,-19,13
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-24,-33,-5,-55,-31,-15,13
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-25,-38,-10,-53,-38,-19,15
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-26,-32,-11,-41,-24,-19,13
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-27,-34,-12,-41,-23,-20,12
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-28,-32,-8,-39,-21,-20,12
UY,Uruguay,,,,,,ChIJqdLifsHUoZURqlHseU5wwtc,2021-04-29,-31,-8,-34,-22,-21,12
